check,check
crossed,crossed
loose,loose
notes,notes
combed,combed
shook,shook
dust,dust
sharpening,sharp-en-ing
spade,spade
working,work-ing
grindstone,grind-stone
displayed,dis-played
concern,con-cern
appeal,ap-peal
vainly,vain-ly
proceeded,pro-ceed-ed
cite,cite
cases,cas-es
laces,lac-es
proved,proved
infringement,in-fringe-ment
ferociously,fe-ro-cious-ly
planned,planned
novel,nov-el
arrangement,ar-range-ment
bows,bows
chalking,chalk-ing
tip,tip
nose,nose
turned,turned
nervous,nerv-ous
dressed,dressed
kid,kid
gloves,gloves
ruff,ruff
dine,dine
stuff,stuff
introduce,in-tro-duce
fellow,fel-low
sagaciously,sa-ga-cious-ly
nodding,nod-ding
depend,de-pend
galumphing,ga-lumph-ing
seeing,see-ing
stupid,stu-pid
stout,stout
effort,ef-fort
wrath,wrath
beginning,be-gin-ning
sob,sob
desperate,des-per-ate
bird,bird
job,job
lesson,les-son
sought,sought
pursued,pur-sued
charmed,charmed
contrived,con-trived
ingenious,in-gen-ious
plan,plan
sally,sal-ly
fixed,fixed
spot,spot
unfrequented,un-fre-quent-ed
desolate,des-o-late
chosen,cho-sen
betrayed,be-trayed
sign,sign
disgust,dis-gust
work,work
pretend,pre-tend
grew,grew
narrow,nar-row
narrower,nar-row-er
darker,dark-er
colder,cold-er
nervousness,nerv-ous-ness
marched,marched
shoulder,shoul-der
shrill,shrill
rent,rent
shuddering,shud-der-ing
near,near
tail,tail
queer,queer
childhood,child-hood
blissful,bliss-ful
innocent,in-no-cent
recalled,re-called
pencil,pen-cil
squeaks,squeaks
slate,slate
voice,voice
used,used
added,add-ed
uttered,ut-tered
count,count
entreat,en-treat
song,song
counted,count-ed
scrupulous,scru-pu-lous
attending,at-tend-ing
fairly,fair-ly
despair,de-spair
repetition,rep-e-ti-tion
spite,spite
possible,pos-si-ble
pains,pains
somehow,some-how
lose,lose
rack,rack
brains,brains
reckoning,reck-on-ing
amount,a-mount
fingers,fin-gers
thumbs,thumbs
recollecting,rec-ol-lect-ing
earlier,ear-li-er
taken,ta-ken
sums,sums
ink,ink
portfolio,port-fo-li-o
unfailing,un-fail-ing
supplies,sup-plies
creepy,creep-y
creatures,crea-tures
dens,dens
wondering,won-der-ing
engrossed,en-grossed
heeded,heed-ed
wrote,wrote
